booking_id,worker_id,customer_id,category,user_zone,budget,status,created_at,customer_name,customer_phone,customer_email
1,503,212,Carpentry,Faridabad,1881,completed,2026-08-04T13:32:34.373892+00:00,Ankit Kapoor,+919848242279,customer212@kaushalkonnect.in
2,195,20,Electrical,Noida,1968,cancelled,2026-06-15T01:25:04.373892+00:00,Gaurav Kohli,+918577594617,customer20@kaushalkonnect.in
3,233,391,Electrical,Ghaziabad,1203,booked,2026-08-11T08:24:37.373892+00:00,Naman Saini,+916839704304,customer391@kaushalkonnect.in
4,574,124,Appliance Repair,Delhi,700,booked,2026-07-31T00:13:43.373892+00:00,Pradeep Kumar,+919616875067,customer124@kaushalkonnect.in
5,59,158,Carpentry,Delhi,2711,booked,2026-07-12T06:07:44.373892+00:00,Dev Kohli,+918147078140,customer158@kaushalkonnect.in
6,28,94,Painting,Gurugram,1855,requested,2026-06-27T05:56:23.373892+00:00,Riya Bhatia,+918371850287,customer94@kaushalkonnect.in
7,341,276,Appliance Repair,Gurugram,1904,completed,2026-07-04T11:20:26.373892+00:00,Akash Bhatia,+919940142845,customer276@kaushalkonnect.in
8,360,529,Electrical,Delhi,1268,requested,2026-08-12T05:46:50.373892+00:00,Yogesh Patel,+917198023595,customer529@kaushalkonnect.in
9,998,155,Carpentry,Noida,1268,completed,2026-08-10T06:14:39.373892+00:00,Vikas Kapoor,+919709905403,customer155@kaushalkonnect.in
10,303,596,Carpentry,Ghaziabad,1612,requested,2026-07-01T22:15:52.373892+00:00,Siddharth Malhotra,+919932783376,customer596@kaushalkonnect.in
11,611,118,Plumbing,Delhi,1488,requested,2026-07-14T18:45:29.373892+00:00,Akash Ali,+918904630230,customer118@kaushalkonnect.in
12,764,446,Painting,Ghaziabad,2185,requested,2026-08-16T01:33:37.373892+00:00,Pankaj Jain,+917248509690,customer446@kaushalkonnect.in
13,347,23,Painting,Gurugram,1254,booked,2026-08-17T14:10:49.373892+00:00,Rakesh Gupta,+919760482428,customer23@kaushalkonnect.in
14,623,546,Electrical,Faridabad,1114,requested,2026-08-18T22:40:42.373892+00:00,Nisha Chauhan,+916420303116,customer546@kaushalkonnect.in
15,74,355,Plumbing,Delhi,1707,booked,2026-07-26T03:55:45.373892+00:00,Rahul Saini,+919852992624,customer355@kaushalkonnect.in
16,609,291,Painting,Noida,1912,completed,2026-07-19T06:36:28.373892+00:00,Arnav Khanna,+919996736147,customer291@kaushalkonnect.in
17,493,35,Painting,Gurugram,1306,booked,2026-07-07T07:18:15.373892+00:00,Nisha Mehta,+916462424676,customer35@kaushalkonnect.in
18,279,374,Home Cleaning,Delhi,1030,completed,2026-06-14T17:49:49.373892+00:00,Ashish Gupta,+917864797442,customer374@kaushalkonnect.in
19,42,369,Plumbing,Noida,1273,booked,2026-06-29T09:47:38.373892+00:00,Deepak Chaudhary,+916582556457,customer369@kaushalkonnect.in
20,292,510,Plumbing,Delhi,643,completed,2026-08-03T04:26:13.373892+00:00,Kunal Thakur,+919035491382,customer510@kaushalkonnect.in
21,662,509,Painting,Delhi,1468,completed,2026-06-20T12:52:20.373892+00:00,Sanjay Kohli,+917342320635,customer509@kaushalkonnect.in
22,952,90,Plumbing,Gurugram,1842,cancelled,2026-08-29T00:08:27.373892+00:00,Ayush Srivastava,+917310982232,customer90@kaushalkonnect.in
23,398,359,Painting,Noida,1243,completed,2026-09-07T07:26:17.373892+00:00,Naman Thakur,+918857452602,customer359@kaushalkonnect.in
24,192,538,Painting,Noida,1715,completed,2026-06-20T20:55:32.373892+00:00,Aditi Mehta,+919656455324,customer538@kaushalkonnect.in
25,96,287,Plumbing,Noida,1693,cancelled,2026-06-14T13:53:23.373892+00:00,Ankit Kumar,+919225150759,customer287@kaushalkonnect.in
26,418,432,Plumbing,Gurugram,864,cancelled,2026-08-15T16:59:14.373892+00:00,Ankit Rana,+917830061145,customer432@kaushalkonnect.in
27,719,378,Appliance Repair,Ghaziabad,2010,booked,2026-07-15T21:09:16.373892+00:00,Pankaj Agarwal,+919909957616,customer378@kaushalkonnect.in
28,755,534,Home Cleaning,Delhi,500,completed,2026-09-03T13:27:56.373892+00:00,Riya Ghosh,+916843725341,customer534@kaushalkonnect.in
29,306,303,Appliance Repair,Noida,2158,booked,2026-08-08T09:52:23.373892+00:00,Aman Menon,+918072606082,customer303@kaushalkonnect.in
30,40,436,Electrical,Gurugram,1234,completed,2026-06-14T01:43:26.373892+00:00,Dev Sheikh,+918057241978,customer436@kaushalkonnect.in
31,947,587,Painting,Delhi,1367,completed,2026-06-26T09:07:49.373892+00:00,Vivek Negi,+916220439054,customer587@kaushalkonnect.in
32,744,50,Plumbing,Greater Noida,1535,cancelled,2026-08-31T07:28:25.373892+00:00,Rahul Reddy,+917484432800,customer50@kaushalkonnect.in
33,843,416,Electrical,Gurugram,2105,booked,2026-06-22T08:00:52.373892+00:00,Karan Naidu,+919385092003,customer416@kaushalkonnect.in
34,828,195,Painting,Gurugram,1062,requested,2026-07-18T04:25:20.373892+00:00,Shreya Rawat,+916696460283,customer195@kaushalkonnect.in
35,375,156,Carpentry,Noida,1954,requested,2026-07-31T18:55:42.373892+00:00,Nikhil Yadav,+916619727559,customer156@kaushalkonnect.in
36,552,420,Carpentry,Ghaziabad,800,requested,2026-06-19T15:45:05.373892+00:00,Priya Bansal,+919319986427,customer420@kaushalkonnect.in
37,498,407,Appliance Repair,Delhi,2524,booked,2026-08-16T01:26:09.373892+00:00,Manish Khanna,+918156136285,customer407@kaushalkonnect.in
38,71,412,Appliance Repair,Ghaziabad,1488,cancelled,2026-07-25T10:14:28.373892+00:00,Priya Tiwari,+918533674697,customer412@kaushalkonnect.in
39,438,136,Carpentry,Delhi,2028,completed,2026-06-24T08:30:07.373892+00:00,Shreya Roy,+916828537068,customer136@kaushalkonnect.in
40,181,547,Painting,Greater Noida,800,booked,2026-07-09T15:22:24.373892+00:00,Naman Bhatia,+916004513153,customer547@kaushalkonnect.in
41,385,462,Home Cleaning,Faridabad,608,booked,2026-07-06T20:37:01.373892+00:00,Riya Mehta,+918711053674,customer462@kaushalkonnect.in
42,263,598,Home Cleaning,Ghaziabad,1449,booked,2026-06-16T10:31:23.373892+00:00,Amit Pandey,+917674395570,customer598@kaushalkonnect.in
43,485,530,Painting,Gurugram,1832,completed,2026-08-24T07:50:55.373892+00:00,Rahul Patel,+918088665239,customer530@kaushalkonnect.in
44,482,513,Electrical,Noida,1765,completed,2026-08-17T06:51:29.373892+00:00,Yogesh Arora,+917492716523,customer513@kaushalkonnect.in
45,776,435,Painting,Delhi,2324,completed,2026-08-23T23:50:02.373892+00:00,Shreya Negi,+917096878396,customer435@kaushalkonnect.in
46,8,488,Plumbing,Gurugram,1469,requested,2026-08-21T17:20:44.373892+00:00,Arnav Dutta,+919916208629,customer488@kaushalkonnect.in
47,559,568,Painting,Delhi,1942,booked,2026-08-17T15:19:07.373892+00:00,Pankaj Kohli,+917717004368,customer568@kaushalkonnect.in
48,508,157,Appliance Repair,Ghaziabad,1636,requested,2026-09-09T08:31:40.373892+00:00,Aman Tripathi,+917631773114,customer157@kaushalkonnect.in
49,262,400,Electrical,Noida,1182,requested,2026-08-20T06:49:13.373892+00:00,Vikram Bisht,+917609251836,customer400@kaushalkonnect.in
50,766,565,Appliance Repair,Greater Noida,1548,booked,2026-08-07T15:58:05.373892+00:00,Deepika Bansal,+919147617740,customer565@kaushalkonnect.in
51,196,533,Carpentry,Delhi,3328,booked,2026-06-24T02:43:17.373892+00:00,Suraj Bansal,+919560858267,customer533@kaushalkonnect.in
