worker_id,full_name,phone,email,city,locality,category,user_zone,worker_zone,available,weekly_gigs,rating,completed_jobs,acceptance_rate,cancellation_rate,response_minutes,price,budget,distance_km,successful_booking
1,Kunal Bhatia,+919261004003,worker1@kaushalkonnect.in,Delhi,Laxmi Nagar,Electrical,East,East,1,8,4.64,192,0.89,0.06,85,432,1905,11.4,0
2,Rahul Naidu,+916004230026,worker2@kaushalkonnect.in,Delhi,Preet Vihar,Electrical,East,East,1,6,4.24,125,0.96,0.17,10,640,1152,7.8,0
3,Amit Yadav,+919945297674,worker3@kaushalkonnect.in,Delhi,Rohini,Plumbing,North,North,1,4,4.67,408,0.85,0.1,56,670,2126,9.0,0
4,Vikas Wadhwa,+919058173023,worker4@kaushalkonnect.in,Delhi,Pitampura,Home Cleaning,North,North,1,6,4.83,323,0.98,0.09,54,418,1105,4.8,1
5,Gaurav Srivastava,+918347990214,worker5@kaushalkonnect.in,Delhi,Dwarka,Painting,West,West,1,9,3.61,148,0.88,0.07,82,357,1998,3.3,1
6,Bhavna Rao,+917386794435,worker6@kaushalkonnect.in,Delhi,Janakpuri,Electrical,West,West,1,9,4.33,544,0.85,0.08,34,420,2423,4.4,1
7,Suraj Mishra,+919060962579,worker7@kaushalkonnect.in,Delhi,Saket,Appliance Repair,South,South,1,11,4.26,606,0.87,0.01,75,751,3608,4.0,0
8,Pradeep Tripathi,+916482507851,worker8@kaushalkonnect.in,Delhi,Malviya Nagar,Plumbing,South,South,1,15,4.2,594,0.83,0.13,63,514,1717,7.9,1
9,Aarav Kumar,+916717819505,worker9@kaushalkonnect.in,Delhi,Karol Bagh,Electrical,Central,Central,0,8,3.9,587,0.82,0.15,91,620,2293,9.1,1
10,Simran Kohli,+916487409524,worker10@kaushalkonnect.in,Delhi,Rajouri Garden,Painting,West,West,1,4,3.77,154,0.81,0.08,10,389,1295,1.3,0
11,Naman Kapoor,+917942843878,worker11@kaushalkonnect.in,Noida,Sector 62,Electrical,Noida,Noida,0,6,4.01,319,0.87,0.03,78,662,2832,3.2,0
12,Divya Iyer,+919279999015,worker12@kaushalkonnect.in,Noida,Sector 18,Carpentry,Noida,Noida,1,3,4.8,574,0.87,0.1,63,775,3514,10.4,0
13,Amit Pandey,+919514759348,worker13@kaushalkonnect.in,Noida,Sector 50,Home Cleaning,Noida,Noida,1,12,4.55,194,0.85,0.11,53,432,870,5.8,1
14,Isha Naidu,+918799568018,worker14@kaushalkonnect.in,Noida,Sector 137,Appliance Repair,Noida,Noida,1,12,4.4,568,0.89,0.03,10,557,4877,2.2,1
15,Yogesh Iyer,+916881763104,worker15@kaushalkonnect.in,Greater Noida,Knowledge Park,Electrical,Greater Noida,Greater Noida,0,7,4.09,506,0.89,0.03,78,481,2762,11.1,1
16,Nikhil Sood,+918305629673,worker16@kaushalkonnect.in,Greater Noida,Alpha 1,Home Cleaning,Greater Noida,Greater Noida,0,9,4.38,299,0.85,0.11,59,347,1761,11.3,0
17,Shivam Agarwal,+918067292916,worker17@kaushalkonnect.in,Ghaziabad,Indirapuram,Plumbing,Ghaziabad,Ghaziabad,0,5,4.58,340,0.87,0.06,10,401,825,5.2,0
18,Aarav Rawat,+918881124048,worker18@kaushalkonnect.in,Ghaziabad,Vaishali,Carpentry,Ghaziabad,Ghaziabad,0,3,4.39,355,0.95,0.04,124,625,3368,6.1,0
19,Riya Rana,+916202196479,worker19@kaushalkonnect.in,Ghaziabad,Kaushambi,Painting,Ghaziabad,Ghaziabad,1,6,4.28,347,0.93,0.15,36,501,1114,1.3,1
20,Deepak Qureshi,+918717602234,worker20@kaushalkonnect.in,Gurugram,Sector 14,Appliance Repair,Gurugram,Gurugram,1,10,3.67,209,0.89,0.1,60,951,2297,8.8,0
21,Siddharth Bisht,+916736763895,worker21@kaushalkonnect.in,Gurugram,Sector 56,Home Cleaning,Gurugram,Gurugram,0,5,4.39,67,0.95,0.05,65,446,871,5.3,1
22,Nisha Khan,+916722221115,worker22@kaushalkonnect.in,Gurugram,DLF Phase 3,Appliance Repair,Gurugram,Gurugram,0,2,4.19,61,0.99,0.05,49,1014,2631,5.0,0
23,Rohit Sharma,+916819490937,worker23@kaushalkonnect.in,Faridabad,Sector 15,Carpentry,Faridabad,Faridabad,0,2,4.18,506,0.91,0.14,51,790,978,3.5,0
24,Sameer Bhardwaj,+916808004185,worker24@kaushalkonnect.in,Faridabad,Sector 21,Carpentry,Faridabad,Faridabad,1,1,3.91,136,0.91,0.09,77,700,4217,1.6,0
25,Priya Srivastava,+919279819634,worker25@kaushalkonnect.in,Delhi,Laxmi Nagar,Painting,East,East,1,11,4.53,305,0.99,0.16,60,453,2683,4.2,0
26,Ananya Jain,+917223693578,worker26@kaushalkonnect.in,Delhi,Preet Vihar,Home Cleaning,East,East,1,10,4.46,88,0.99,0.16,26,471,949,4.8,0
27,Sakshi Jain,+918017199146,worker27@kaushalkonnect.in,Delhi,Rohini,Appliance Repair,North,North,0,9,4.26,407,0.88,0.09,114,552,1566,1.4,1
28,Arnav Nair,+916298373746,worker28@kaushalkonnect.in,Delhi,Pitampura,Painting,North,North,1,8,4.15,596,0.87,0.1,45,545,2712,15.0,0
